frequency [Hz],input_power [dBm]
1700000000.0,-1.7386934673366832
1705025125.6281407,-1.492462311557789
1710050251.2562814,-1.7386934673366832
1715075376.884422,-2.618090452261307
1720100502.5125628,-3.110552763819096
1725125628.1407034,-4.482412060301508
1730150753.7688441,-7.331658291457287
1735175879.3969848,-8.809045226130653
1740201005.0251257,-9.547738693467338
1745226130.6532664,-10.110552763819095
1750251256.281407,-11.095477386934673
1755276381.9095478,-11.552763819095478
1760301507.5376885,-11.271356783919598
1765326633.1658292,-12.22110552763819
1770351758.7939699,-11.130653266331658
1775376884.4221106,-10.954773869346733
1780402010.0502512,-10.849246231155778
1785427135.678392,-10.145728643216081
1790452261.3065326,-10.5678391959799
1795477386.9346733,-9.582914572864322
1800502512.562814,-9.934673366834172
1805527638.1909547,-9.582914572864322
1810552763.8190954,-8.809045226130655
1815577889.447236,-8.844221105527637
1820603015.075377,-7.613065326633166
1825628140.7035177,-6.909547738693467
1830653266.3316584,-5.9949748743718585
1835678391.959799,-5.326633165829146
1840703517.5879397,-4.693467336683417
1845728643.2160804,-4.095477386934673
1850753768.844221,-2.899497487437187
1855778894.4723618,-2.3366834170854274
1860804020.1005025,-2.055276381909547
1865829145.7286432,-2.125628140703518
1870854271.3567839,-2.8994974874371864
1875879396.9849246,-3.6733668341708543
1880904522.6130652,-5.185929648241206
1885929648.2412062,-7.155778894472363
1890954773.8693466,-8.105527638190955
1895979899.4974875,-9.020100502512562
1901005025.1256282,-9.547738693467338
1906030150.753769,-10.251256281407036
1911055276.3819096,-9.793969849246231
1916080402.0100503,-9.93467336683417
1921105527.638191,-9.793969849246231
1926130653.2663317,-10.040201005025127
1931155778.8944724,-9.723618090452263
1936180904.522613,-9.512562814070352
1941206030.1507537,-9.301507537688442
1946231155.7788944,-9.512562814070352
1951256281.407035,-8.949748743718592
1956281407.0351758,-7.964824120603016
1961306532.6633167,-7.472361809045227
1966331658.2914572,-6.944723618090452
1971356783.919598,-5.889447236180905
1976381909.5477388,-5.625628140703518
1981407035.1758795,-4.78140703517588
1986432160.8040202,-3.6030150753768844
1991457286.4321609,-3.0050251256281406
1996482412.0603015,-2.4070351758793973
2001507537.6884422,-1.809045226130653
2006532663.316583,-0.8944723618090459
2011557788.9447236,-0.841708542713568
2016582914.5728643,-0.9824120603015079
2021608040.201005,-1.0000000000000007
2026633165.8291457,-1.9849246231155782
2031658291.4572864,-2.8643216080402016
2036683417.0854273,-3.708542713567839
2041708542.7135677,-4.834170854271357
2046733668.3417087,-6.452261306532664
2051758793.9698493,-6.874371859296483
2056783919.59799,-7.613065326633166
2061809045.2261307,-7.402010050251256
2066834170.8542714,-7.964824120603016
2071859296.482412,-8.633165829145728
2076884422.1105528,-8.140703517587939
2081909547.7386935,-8.105527638190955
2086934673.3668342,-8.738693467336683
2091959798.9949749,-8.773869346733669
2096984924.6231155,-8.351758793969848
2102010050.2512562,-7.859296482412061
2107035175.879397,-7.64824120603015
2112060301.5075378,-6.417085427135678
2117085427.1356783,-6.628140703517587
2122110552.7638192,-5.819095477386934
2127135678.39196,-5.185929648241206
2132160804.0201006,-4.130653266331658
2137185929.6482413,-3.3567839195979907
2142211055.276382,-2.618090452261307
2147236180.9045227,-2.1959798994974866
2152261306.5326633,-1.2814070351758797
2157286432.160804,-0.6834170854271354
2162311557.7889447,-0.050251256281406725
2167336683.4170856,0.4422110552763817
2172361809.045226,0.3015075376884422
2177386934.673367,-0.08542713567839162
2182412060.3015075,-0.5427135678391958
2187437185.9296484,-1.035175879396985
2192462311.557789,-2.477386934673367
2197487437.18593,-4.482412060301508
2202512562.81407,-4.693467336683418
2207537688.442211,-5.432160804020101
2212562814.0703516,-5.748743718592965
2217587939.6984925,-5.608040201005025
2222613065.3266335,-6.381909547738694
2227638190.954774,-6.768844221105528
2232663316.5829144,-6.417085427135678
2237688442.2110553,-6.241206030150753
2242713567.839196,-5.819095477386934
2247738693.4673367,-5.85427135678392
2252763819.0954776,-5.080402010050252
2257788944.723618,-4.728643216080402
2262814070.351759,-4.763819095477388
2267839195.9798994,-4.341708542713568
2272864321.6080403,-3.532663316582915
2277889447.236181,-2.582914572864322
2282914572.8643217,-2.3366834170854265
2287939698.492462,-1.175879396984925
2292964824.120603,-0.19095477386934692
2297989949.748744,0.23115577889447242
2303015075.3768845,0.8643216080402005
2308040201.005025,3.3618090452261304
2313065326.633166,5.859296482412059
2318090452.261307,5.190954773869347
2323115577.889447,5.7537688442211055
2328140703.517588,1.0402010050251262
2333165829.1457286,-1.6859296482411987
2338190954.7738695,-2.582914572864322
2343216080.40201,-3.7437185929648074
2348241206.030151,-4.763819095477387
2353266331.6582913,-5.994974874371859
2358291457.2864323,-6.276381909547739
2363316582.9145727,-6.241206030150754
