frequency [Hz],input_power [dBm]
1700000000.000000, -6.842105
1705025125.628141, -5.789474
1710050251.256281, -4.736842
1715075376.884422, -4.736842
1720100502.512563, -4.736842
1725125628.140703, -4.736842
1730150753.768844, -4.736842
1735175879.396985, -3.684211
1740201005.025126, -4.736842
1745226130.653266, -4.736842
1750251256.281407, -5.789474
1755276381.909548, -5.789474
1760301507.537688, -6.842105
1770351758.793970, -8.947368
1775376884.422111, -8.947368
1780402010.050251, -8.947368
1785427135.678392, -8.947368
1790452261.306533, -8.947368
1795477386.934673, -8.947368
1800502512.562814, -8.947368
1805527638.190955, -8.947368
1810552763.819095, -8.947368
1815577889.447236, -8.947368
1820603015.075377, -8.947368
1825628140.703518, -8.947368
1830653266.331658, -8.947368
1835678391.959799, -8.947368
1840703517.587940, -8.947368
1845728643.216080, -8.947368
1850753768.844221, -7.894737
1855778894.472362, -6.842105
1860804020.100502, -6.842105
1865829145.728643, -5.789474
1870854271.356784, -5.789474
1875879396.984925, -5.789474
1880904522.613065, -4.736842
1885929648.241206, -4.736842
1890954773.869347, -4.736842
1895979899.497488, -5.789474
1901005025.125628, -4.736842
1906030150.753769, -5.789474
1911055276.381910, -6.842105
1916080402.010050, -6.842105
1921105527.638191, -4.736842
1926130653.266332, -6.842105
1931155778.894472, -6.842105
1936180904.522613, -7.894737
1941206030.150754, -5.789474
1946231155.778894, -7.894737
1951256281.407035, -7.894737
1956281407.035176, -6.842105
1961306532.663317, -7.894737
1966331658.291457, -6.842105
1971356783.919598, -7.894737
1976381909.547739, -8.947368
1981407035.175879, -7.894737
1986432160.804020, -7.894737
1991457286.432161, -6.842105
1996482412.060302, -6.842105
2001507537.688442, -5.789474
2006532663.316583, -5.789474
2011557788.944724, -5.789474
2016582914.572864, -5.789474
2021608040.201005, -3.684211
2026633165.829146, -4.736842
2031658291.457286, -2.631579
2036683417.085427, -2.631579
2041708542.713568, -2.631579
2046733668.341709, -2.631579
2051758793.969849, -2.631579
2056783919.597990, -1.578947
2061809045.226131, -3.684211
2066834170.854271, -3.684211
2071859296.482412, -2.631579
2076884422.110553, -3.684211
2081909547.738693, -3.684211
2086934673.366834, -3.684211
2091959798.994975, -4.736842
2096984924.623116, -6.842105
2102010050.251256, -4.736842
2107035175.879397, -5.789474
2112060301.507538, -5.789474
2117085427.135678, -7.894737
2122110552.763819, -5.789474
2127135678.391960, -5.789474
2132160804.020101, -5.789474
2137185929.648241, -7.894737
2142211055.276382, -7.894737
2147236180.904523, -6.842105
2152261306.532663, -3.684211
2162311557.788945, -4.736842
2167336683.417086, -3.684211
2172361809.045226, -3.684211
2177386934.673367, -3.684211
2182412060.301507, -2.631579
2187437185.929648, -5
2192462311.557789, -8.947368
2197487437.185930, -8.947368
2202512562.814070, -2.631579
2207537688.442211, -1.578947
2212562814.070352, -3.684211
2217587939.698493, -2.631579
2222613065.326633, -2.631579
2227638190.954774, -8.947368
2232663316.582914, -3.684211
2237688442.211055, -3.684211
2242713567.839196, -4.736842
2247738693.467337, -4.736842
2252763819.095478, -3.684211
2257788944.723618, -4.736842
2262814070.351759, -4.736842
2267839195.979899, -3.684211
2272864321.608040, -5.789474
2277889447.236181, -5.789474
2282914572.864322, -4.736842
2292964824.120603, -0.526316
2297989949.748744, -6.842105
2303015075.376884, -4.736842
2308040201.005025, -3.684211
2313065326.633166, -5.789474
2318090452.261307, -3.684211
2323115577.889447, -4.736842
2328140703.517588, -1.578947
2333165829.145729, -2.631579
2338190954.773870, -1.578947
2343216080.402010, -0.526316
2348241206.030151, -1.578947
2353266331.658291, -1.578947
2358291457.286432, -1.578947
2363316582.914573, -1.578947
2368341708.542714, -2.631579
2373366834.170855, -2.631579
2378391959.798995, -3.684211
2383417085.427135, -3.684211
2388442211.055276, -2.631579
2393467336.683417, -1.578947
2398492462.311558, -3.684211
2403517587.939699, -4.736842
2408542713.567839, -3.684211
2413567839.195980, -4.736842
2418592964.824121, -5.789474
2423618090.452261, -4.736842
2428643216.080402, -5.789474
2433668341.708543, -4.736842
2438693467.336683, -4.736842
2443718592.964824, -6.842105
2448743718.592965, -4.736842
2453768844.221106, -6.842105
2458793969.849246, -4.736842
2463819095.477387, -3.684211
2468844221.105528, -3.684211
2473869346.733668, -2.631579
2478894472.361809, -1.578947
2483919597.989950, -2.631579
2488944723.618091, -0.526316
2493969849.246231, 0.526316
2498994974.874372, 0.526316
2504020100.502512, 0.526316
2509045226.130653, 0.526316
2514070351.758794, 0.526316
2519095477.386935, 1.578947
2524120603.015076, -0.526316
2529145728.643216, -0.526316
2534170854.271357, 0.526316
2539195979.899498, 0.526316
2544221105.527638, -1.578947
2549246231.155779, -1.578947
2554271356.783920, -2.631579
2559296482.412060, -1.578947
2564321608.040201, -1.578947
2569346733.668342, -1.578947
2574371859.296483, -1.578947
2579396984.924623, -3.684211
2584422110.552764, -2.631579
2589447236.180904, -2.631579
2594472361.809045, -1.578947
2599497487.437186, -3.684211
2604522613.065327, -1.578947
2609547738.693467, -2.631579
2614572864.321608, -1.578947
2619597989.949749, -1.578947
2624623115.577889, -0.526316
2629648241.206030, -1.578947
2634673366.834171, 0.526316
2639698492.462312, 1.578947
2644723618.090452, 1.578947
2649748743.718593, 1.578947
2654773869.346734, 2.631579
2659798994.974874, 0.526316
2664824120.603015, 1.578947
2669849246.231156, 1.578947
2674874371.859297, 0.526316
2679899497.487437, -0.526316
2684924623.115578, 0.526316
2689949748.743719, 0.526316
2694974874.371860, -0.526316
2700000000.000000, 0.526316
